timestamp,wind_speed
1688130000,4.14
1688133600,4.32
1688137200,5.58
1688140800,3.78
1688144400,3.42
1688148000,0.18
1688151600,1.8
1688155200,1.44
1688158800,0.36
1688162400,0.0
1688166000,0.0
1688169600,0.0
1688173200,0.0
1688176800,0.0
1688180400,0.0
1688184000,0.0
1688187600,1.8
1688191200,3.6
1688194800,3.96
1688198400,3.24
1688202000,1.44
1688205600,1.8
1688209200,2.7
1688212800,6.48
1688216400,6.12
1688220000,0.18
1688223600,1.44
1688227200,0.0
1688230800,0.0
1688234400,0.0
1688238000,1.08
1688241600,0.36
1688245200,0.0
1688248800,1.98
1688252400,2.52
1688256000,2.16
1688259600,0.36
1688263200,1.44
1688266800,1.62
1688270400,4.14
1688274000,0.72
1688277600,0.72
1688281200,2.34
1688284800,3.6
1688288400,4.5
1688292000,5.58
1688295600,6.12
1688299200,7.38
1688302800,0.54
1688306400,6.66
1688310000,10.8
1688313600,8.64
1688317200,3.06
1688320800,1.8
1688324400,0.18
1688328000,0.0
1688331600,0.0
1688335200,0.0
1688338800,0.0
1688342400,0.0
1688346000,0.0
1688349600,1.8
1688353200,2.7
1688356800,5.94
1688360400,4.68
1688364000,1.8
1688367600,3.42
1688371200,3.42
1688374800,5.22
1688378400,6.3
1688382000,3.24
1688385600,3.06
1688389200,3.42
1688392800,7.02
1688396400,5.94
1688400000,1.08
1688403600,5.4
1688407200,7.74
1688410800,1.98
1688414400,5.76
1688418000,0.54
1688421600,1.44
1688425200,2.16
1688428800,3.42
1688432400,4.68
1688436000,3.42
1688439600,5.4
1688443200,6.12
1688446800,3.24
1688450400,7.02
1688454000,5.4
1688457600,3.06
1688461200,2.88
1688464800,2.88
1688468400,5.76
1688472000,4.86
1688475600,6.12
1688479200,8.28
1688482800,8.64
1688486400,7.2
1688490000,3.6
1688493600,1.98
1688497200,0.0
1688500800,0.0
1688504400,1.62
1688508000,0.0
1688511600,0.0
1688515200,5.76
1688518800,3.42
1688522400,0.72
1688526000,0.0
1688529600,0.0
1688533200,3.06
1688536800,6.66
1688540400,5.58
1688544000,0.18
1688547600,5.76
1688551200,3.6
1688554800,2.16
1688558400,5.58
1688562000,6.12
1688565600,7.92
1688569200,7.92
1688572800,11.88
1688576400,7.92
1688580000,4.5
1688583600,4.14
1688587200,5.76
1688590800,4.68
1688594400,4.86
1688598000,3.06
1688601600,3.06
1688605200,3.6
1688608800,0.36
1688612400,1.44
1688616000,1.44
1688619600,1.26
1688623200,1.44
1688626800,4.14
1688630400,3.42
1688634000,3.42
1688637600,7.38
1688641200,7.74
1688644800,4.86
1688648400,5.4
1688652000,3.06
1688655600,2.34
1688659200,1.08
1688662800,0.0
1688666400,0.0
1688670000,3.6
1688673600,2.7
1688677200,3.42
1688680800,3.42
1688684400,3.42
1688688000,3.6
1688691600,3.6
1688695200,3.96
1688698800,4.68
1688702400,5.58
1688706000,1.8
1688709600,2.88
1688713200,0.72
1688716800,1.98
1688720400,2.88
1688724000,6.12
1688727600,5.04
1688731200,2.52
1688734800,3.6
1688738400,7.38
1688742000,7.38
1688745600,4.68
1688749200,6.12
1688752800,0.0
1688756400,0.0
1688760000,0.0
1688763600,2.7
1688767200,1.62
1688770800,1.08
1688774400,3.6
1688778000,3.6
1688781600,2.88
1688785200,1.62
1688788800,2.52
1688792400,3.06
1688796000,3.6
1688799600,2.88
1688803200,4.14
1688806800,7.2
1688810400,8.64
1688814000,7.56
1688817600,6.12
1688821200,9.0
1688824800,9.54
1688828400,8.64
1688832000,7.2
