timestamp,air_temperature
1687993200,16.755
1687996800,16.4
1688000400,16.725
1688004000,17.26
1688007600,16.825
1688011200,16.55
1688014800,20.345
1688018400,24.545
1688022000,27.09
1688025600,27.105
1688029200,27.845
1688032800,28.315
1688036400,28.855
1688040000,29.975
1688043600,31.095
1688047200,30.095
1688050800,29.835
1688054400,29.005
1688058000,28.245
1688061600,25.535
1688065200,20.73
1688068800,17.905
1688072400,18.425
1688076000,18.9
1688079600,18.47
1688083200,18.205
1688086800,18.42
1688090400,18.425
1688094000,18.305
1688097600,18.97
1688101200,22.275
1688104800,25.165
1688108400,26.205
1688112000,26.205
1688115600,25.215
1688119200,24.905
1688122800,24.135
1688126400,24.965
1688130000,25.34
1688133600,27.48
1688137200,30.065
1688140800,28.47
1688144400,27.71
1688148000,24.75
1688151600,22.61
1688155200,21.305
1688158800,20.215
1688162400,19.5
1688166000,18.075
1688169600,17.485
1688173200,18.595
1688176800,19.0
1688180400,18.865
1688184000,19.15
1688187600,20.385
1688191200,22.675
1688194800,23.32
1688198400,21.98
1688202000,23.63
1688205600,25.38
1688209200,25.88
1688212800,26.695
1688216400,28.28
1688220000,27.945
1688223600,28.89
1688227200,30.005
1688230800,29.4
1688234400,24.835
1688238000,22.165
1688241600,20.48
1688245200,20.715
1688248800,20.4
1688252400,20.4
1688256000,20.22
1688259600,19.245
1688263200,19.19
1688266800,19.035
1688270400,19.415
1688274000,22.71
1688277600,26.57
1688281200,28.68
1688284800,29.285
1688288400,29.955
1688292000,30.78
1688295600,30.71
1688299200,31.84
1688302800,30.225
1688306400,31.79
1688310000,30.28
1688313600,30.49
1688317200,28.695
1688320800,27.575
1688324400,24.25
1688328000,21.26
1688331600,20.475
1688335200,19.955
1688338800,19.21
1688342400,18.735
1688346000,18.59
1688349600,19.585
1688353200,21.11
1688356800,21.47
1688360400,24.645
1688364000,26.57
1688367600,29.385
1688371200,31.485
1688374800,32.005
1688378400,32.15
1688382000,32.82
1688385600,33.805
1688389200,33.95
1688392800,32.265
1688396400,31.545
1688400000,32.59
1688403600,28.355
1688407200,26.385
1688410800,24.83
1688414400,21.875
1688418000,21.375
1688421600,20.405
1688425200,19.955
1688428800,19.47
1688432400,20.445
1688436000,19.69
1688439600,19.205
1688443200,19.945
1688446800,22.51
1688450400,25.05
1688454000,24.555
1688457600,26.235
1688461200,27.455
1688464800,28.34
1688468400,29.59
1688472000,30.47
1688475600,30.965
1688479200,31.27
1688482800,29.49
1688486400,29.29
1688490000,28.405
1688493600,26.51
1688497200,23.415
1688500800,21.16
1688504400,20.23
1688508000,19.88
1688511600,19.415
1688515200,21.435
1688518800,22.485
1688522400,21.015
1688526000,17.95
1688529600,17.62
1688533200,22.92
1688536800,24.14
1688540400,24.04
1688544000,27.325
1688547600,28.285
1688551200,29.475
1688554800,30.265
1688558400,31.795
1688562000,32.63
1688565600,32.65
1688569200,32.465
1688572800,30.805
1688576400,29.285
1688580000,27.585
