Unnamed: 0,timestamp,soil_texture,scenario,r,rOld,kp,ki,irrigation_strategy,irrigation_frequency,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv,last_r,last_irrigation,datetime
,1627542000.0,silty,2021,-0.1985455235991517,,-999.0,-999.0,GBRT,1,7.439991966157071,,5.501441403272102,4.71830645976308,4.519760936163928,0.0,-0.1985455235991517,7.4432574552095,2021-07-29 07:00:00
,1627628400.0,silty,2021,-0.1526312932113429,,-999.0,-999.0,GBRT,1,7.439991966157071,,7.363960029273559,4.71830645976308,4.565675166551737,0.0,-0.1526312932113429,7.439991966157071,2021-07-30 07:00:00
,1627714800.0,silty,2021,-0.0915570876323967,,-999.0,-999.0,GBRT,1,7.439991966157071,,8.127164249908118,4.71830645976308,4.626749372130684,0.0,-0.0915570876323967,7.439991966157071,2021-07-31 07:00:00
,1627801200.0,silty,2021,-0.0839212014233236,,-999.0,-999.0,GBRT,1,7.420946134729949,,7.011084171391055,4.71830645976308,4.634385258339757,9.0,-0.0839212014233236,7.439991966157071,2021-08-01 07:00:00
,1627887600.0,silty,2021,-0.165598690125283,,-999.0,-999.0,GBRT,1,7.240942619101662,,7.304828236834061,4.71830645976308,4.552707769637797,0.0,-0.165598690125283,7.420946134729949,2021-08-02 07:00:00
,1627974000.0,silty,2021,-0.1483445168026415,,-999.0,-999.0,GBRT,1,6.904790892888673,,7.320018177389831,4.71830645976308,4.569961942960439,0.0,-0.1483445168026415,7.240942619101662,2021-08-03 07:00:00
,1628060400.0,silty,2021,-0.0765514030166801,,-999.0,-999.0,GBRT,1,6.799837663983879,,8.239496207860649,4.71830645976308,4.6417550567464,0.0,-0.0765514030166801,6.904790892888673,2021-08-04 07:00:00
,1628146800.0,silty,2021,-0.117595805403012,,-999.0,-999.0,GBRT,1,7.139056068568236,,4.198759507591638,4.71830645976308,4.600710654360068,0.0,-0.117595805403012,6.799837663983879,2021-08-05 07:00:00
,1628233200.0,silty,2021,-0.0352392827364959,,-999.0,-999.0,GBRT,1,7.104446797253173,,8.25634687060054,4.71830645976308,4.683067177026584,0.0,-0.0352392827364959,7.139056068568236,2021-08-06 07:00:00
,1628319600.0,silty,2021,0.0178987154521401,,-999.0,-999.0,GBRT,1,7.439991966157071,,7.823891414052509,4.71830645976308,4.73620517521522,0.0,0.0178987154521401,7.104446797253173,2021-08-07 07:00:00
,1628406000.0,silty,2021,0.0287603979771323,,-999.0,-999.0,GBRT,1,7.439991966157071,,6.805842568347599,4.71830645976308,4.747066857740212,0.0,0.0287603979771323,7.439991966157071,2021-08-08 07:00:00
,1628492400.0,silty,2021,0.0734269478953856,,-999.0,-999.0,GBRT,1,7.439991966157071,,8.235329351972808,4.71830645976308,4.791733407658466,0.0,0.0734269478953856,7.439991966157071,2021-08-09 07:00:00
,1625986800.0,silty,2021,0.2600629739971998,,-999.0,-999.0,GBRT,2,24.0,,7.909412676835701,4.71830645976308,4.97836943376028,0.0,0.2600629739971998,0.0,2021-07-11 07:00:00
,1626073200.0,silty,2021,0.0852127150135878,,-1.0,-1.0,GBRT,2,0.0,,8.171899400888595,4.71830645976308,4.803519174776668,0.0,0.0852127150135878,24.0,2021-07-12 07:00:00
,1626159600.0,silty,2021,0.0212323446936888,,-999.0,-999.0,GBRT,2,18.32159464131129,,7.307248568315713,4.71830645976308,4.739538804456769,49.2,0.0212323446936888,0.0,2021-07-13 07:00:00
,1626246000.0,silty,2021,-0.9942592475165573,,-1.0,-1.0,GBRT,2,0.0,,3.7200181370317593,4.71830645976308,3.724047212246523,0.0,-0.9942592475165573,18.32159464131129,2021-07-14 07:00:00
,1626332400.0,silty,2021,-1.052104151217892,,-999.0,-999.0,GBRT,2,0.0,,6.588938290136868,4.71830645976308,3.666202308545188,0.0,-1.052104151217892,0.0,2021-07-15 07:00:00
,1626418800.0,silty,2021,-0.8800859882323282,,-1.0,-1.0,GBRT,2,0.0,,4.2070949143533625,4.71830645976308,3.838220471530752,10.8,-0.8800859882323282,0.0,2021-07-16 07:00:00
,1626505200.0,silty,2021,-0.9993657586870924,,-999.0,-999.0,GBRT,2,0.0,,1.7206288405645938,4.71830645976308,3.718940701075988,0.8,-0.9993657586870924,0.0,2021-07-17 07:00:00
,1626591600.0,silty,2021,-0.9219133693424856,,-1.0,-1.0,GBRT,2,0.0,,2.339819333016992,4.71830645976308,3.7963930904205943,0.0,-0.9219133693424856,0.0,2021-07-18 07:00:00
,1626678000.0,silty,2021,-0.687605533401736,,-999.0,-999.0,GBRT,2,0.0,,5.542148180411579,4.71830645976308,4.0307009263613445,0.0,-0.687605533401736,0.0,2021-07-19 07:00:00
,1626764400.0,silty,2021,-0.4153246122966605,,-1.0,-1.0,GBRT,2,0.0,,6.336708517861463,4.71830645976308,4.30298184746642,0.0,-0.4153246122966605,0.0,2021-07-20 07:00:00
,1626850800.0,silty,2021,-0.0926320783661896,,-999.0,-999.0,GBRT,2,24.0,,7.723088615724408,4.71830645976308,4.625674381396891,0.0,-0.0926320783661896,0.0,2021-07-21 07:00:00
,1626937200.0,silty,2021,-0.2758292551569088,,-1.0,-1.0,GBRT,2,0.0,,6.384988487195638,4.71830645976308,4.442477204606171,0.0,-0.2758292551569088,24.0,2021-07-22 07:00:00
,1627023600.0,silty,2021,-0.2692723296778531,,-999.0,-999.0,GBRT,2,23.00516659719557,,6.724001721462045,4.71830645976308,4.449034130085227,0.0,-0.2692723296778531,0.0,2021-07-23 07:00:00
,1627110000.0,silty,2021,-0.4210148753519872,,-1.0,-1.0,GBRT,2,0.0,,6.639604206034317,4.71830645976308,4.297291584411093,0.0,-0.4210148753519872,23.00516659719557,2021-07-24 07:00:00
,1627196400.0,silty,2021,-0.4657910085317565,,-999.0,-999.0,GBRT,2,23.993084590507987,,6.068344799075018,4.71830645976308,4.252515451231324,0.0,-0.4657910085317565,0.0,2021-07-25 07:00:00
,1627282800.0,silty,2021,-0.6646418024118047,,-1.0,-1.0,GBRT,2,0.0,,3.7441148307248353,4.71830645976308,4.053664657351275,0.0,-0.6646418024118047,23.993084590507987,2021-07-26 07:00:00
,1627369200.0,silty,2021,-0.7304688702226919,,-999.0,-999.0,GBRT,2,17.02458048847923,,5.25782491390273,4.71830645976308,3.987837589540389,1.0,-0.7304688702226919,0.0,2021-07-27 07:00:00
,1627455600.0,silty,2021,-0.8182734214143621,,-1.0,-1.0,GBRT,2,0.0,,4.067188753317478,4.71830645976308,3.900033038348718,0.0,-0.8182734214143621,17.02458048847923,2021-07-28 07:00:00
,1627542000.0,silty,2021,-0.7944207891749392,,-999.0,-999.0,GBRT,2,0.0,,5.501441403272102,4.71830645976308,3.923885670588141,0.0,-0.7944207891749392,0.0,2021-07-29 07:00:00
,1627628400.0,silty,2021,-0.5029914245997192,,-1.0,-1.0,GBRT,2,0.0,,7.363960029273559,4.71830645976308,4.215315035163361,0.0,-0.5029914245997192,0.0,2021-07-30 07:00:00
,1627714800.0,silty,2021,-0.18794570111719,,-999.0,-999.0,GBRT,2,24.0,,8.127164249908118,4.71830645976308,4.53036075864589,0.0,-0.18794570111719,0.0,2021-07-31 07:00:00
,1627801200.0,silty,2021,-0.3414361044985689,,-1.0,-1.0,GBRT,2,0.0,,7.011084171391055,4.71830645976308,4.376870355264511,9.0,-0.3414361044985689,24.0,2021-08-01 07:00:00
,1627887600.0,silty,2021,-0.4371551692127892,,-999.0,-999.0,GBRT,2,18.76364947482085,,7.304828236834061,4.71830645976308,4.281151290550291,0.0,-0.4371551692127892,0.0,2021-08-02 07:00:00
,1627974000.0,silty,2021,-0.4930294761026,,-1.0,-1.0,GBRT,2,0.0,,7.320018177389831,4.71830645976308,4.22527698366048,0.0,-0.4930294761026,18.76364947482085,2021-08-03 07:00:00
,1628060400.0,silty,2021,-0.4066858992522745,,-999.0,-999.0,GBRT,2,17.14863348795175,,8.239496207860649,4.71830645976308,4.311620560510805,0.0,-0.4066858992522745,0.0,2021-08-04 07:00:00
,1628146800.0,silty,2021,-0.5217381123311358,,-1.0,-1.0,GBRT,2,0.0,,4.198759507591638,4.71830645976308,4.196568347431945,0.0,-0.5217381123311358,17.14863348795175,2021-08-05 07:00:00
,1628233200.0,silty,2021,-0.3888916063948792,,-999.0,-999.0,GBRT,2,20.349853872800622,,8.25634687060054,4.71830645976308,4.329414853368201,0.0,-0.3888916063948792,0.0,2021-08-06 07:00:00
,1628319600.0,silty,2021,-0.431825120150447,,-1.0,-1.0,GBRT,2,0.0,,7.823891414052509,4.71830645976308,4.286481339612633,0.0,-0.431825120150447,20.349853872800622,2021-08-07 07:00:00
,1628406000.0,silty,2021,-0.4041260539482501,,-999.0,-999.0,GBRT,2,20.349853872800622,,6.805842568347599,4.71830645976308,4.31418040581483,0.0,-0.4041260539482501,0.0,2021-08-08 07:00:00
,1628492400.0,silty,2021,-0.4314576051060975,,-1.0,-1.0,GBRT,2,0.0,,8.235329351972808,4.71830645976308,4.286848854656983,0.0,-0.4314576051060975,20.349853872800622,2021-08-09 07:00:00
,1625986800.0,silty,2021,0.2600629739971998,,-999.0,-999.0,GBRT,3,36.0,,7.909412676835701,4.71830645976308,4.97836943376028,0.0,0.2600629739971998,0.0,2021-07-11 07:00:00
,1626073200.0,silty,2021,-0.0824723603490949,,-1.0,-1.0,GBRT,3,0.0,,8.171899400888595,4.71830645976308,4.6358340994139855,0.0,-0.0824723603490949,36.0,2021-07-12 07:00:00
,1626159600.0,silty,2021,-0.262208844127846,,-1.0,-1.0,GBRT,3,0.0,,7.307248568315713,4.71830645976308,4.456097615635234,49.2,-0.262208844127846,0.0,2021-07-13 07:00:00
,1626246000.0,silty,2021,-1.030337982895437,,-999.0,-999.0,GBRT,3,0.0,,3.7200181370317593,4.71830645976308,3.6879684768676433,0.0,-1.030337982895437,0.0,2021-07-14 07:00:00
,1626332400.0,silty,2021,-0.8794288552663494,,-1.0,-1.0,GBRT,3,0.0,,6.588938290136868,4.71830645976308,3.838877604496731,0.0,-0.8794288552663494,0.0,2021-07-15 07:00:00
,1626418800.0,silty,2021,-0.70055221914112,,-1.0,-1.0,GBRT,3,0.0,,4.2070949143533625,4.71830645976308,4.017754240621961,10.8,-0.70055221914112,0.0,2021-07-16 07:00:00
,1626505200.0,silty,2021,-0.8165595279384437,,-999.0,-999.0,GBRT,3,0.0,,1.7206288405645938,4.71830645976308,3.9017469318246367,0.8,-0.8165595279384437,0.0,2021-07-17 07:00:00
,1626591600.0,silty,2021,-0.7535502967979184,,-1.0,-1.0,GBRT,3,0.0,,2.339819333016992,4.71830645976308,3.9647561629651618,0.0,-0.7535502967979184,0.0,2021-07-18 07:00:00
,1626678000.0,silty,2021,-0.5242100358484739,,-1.0,-1.0,GBRT,3,0.0,,5.542148180411579,4.71830645976308,4.194096423914607,0.0,-0.5242100358484739,0.0,2021-07-19 07:00:00
,1626764400.0,silty,2021,-0.2508070730614644,,-999.0,-999.0,GBRT,3,0.0,,6.336708517861463,4.71830645976308,4.467499386701616,0.0,-0.2508070730614644,0.0,2021-07-20 07:00:00
,1626850800.0,silty,2021,0.0494085735645769,,-1.0,-1.0,GBRT,3,0.0,,7.723088615724408,4.71830645976308,4.767715033327657,0.0,0.0494085735645769,0.0,2021-07-21 07:00:00
,1626937200.0,silty,2021,0.2466190913307503,,-1.0,-1.0,GBRT,3,0.0,,6.384988487195638,4.71830645976308,4.964925551093831,0.0,0.2466190913307503,0.0,2021-07-22 07:00:00
,1627023600.0,silty,2021,0.4204048056454066,,-999.0,-999.0,GBRT,3,36.0,,6.724001721462045,4.71830645976308,5.138711265408487,0.0,0.4204048056454066,0.0,2021-07-23 07:00:00
,1627110000.0,silty,2021,-0.0464579507578674,,-1.0,-1.0,GBRT,3,0.0,,6.639604206034317,4.71830645976308,4.671848509005213,0.0,-0.0464579507578674,36.0,2021-07-24 07:00:00
,1627196400.0,silty,2021,-0.2138295702664266,,-1.0,-1.0,GBRT,3,0.0,,6.068344799075018,4.71830645976308,4.504476889496654,0.0,-0.2138295702664266,0.0,2021-07-25 07:00:00
,1627282800.0,silty,2021,-0.1190267804127079,,-999.0,-999.0,GBRT,3,36.0,,3.7441148307248353,4.71830645976308,4.5992796793503725,0.0,-0.1190267804127079,0.0,2021-07-26 07:00:00
,1627369200.0,silty,2021,-0.4608014060729788,,-1.0,-1.0,GBRT,3,0.0,,5.25782491390273,4.71830645976308,4.257505053690101,1.0,-0.4608014060729788,36.0,2021-07-27 07:00:00
,1627455600.0,silty,2021,-0.6823930953309584,,-1.0,-1.0,GBRT,3,0.0,,4.067188753317478,4.71830645976308,4.035913364432122,0.0,-0.6823930953309584,0.0,2021-07-28 07:00:00
,1627542000.0,silty,2021,-0.533231984825267,,-999.0,-999.0,GBRT,3,32.70856030569287,,5.501441403272102,4.71830645976308,4.185074474937813,0.0,-0.533231984825267,0.0,2021-07-29 07:00:00
,1627628400.0,silty,2021,-0.686999532924728,,-1.0,-1.0,GBRT,3,0.0,,7.363960029273559,4.71830645976308,4.031306926838353,0.0,-0.686999532924728,32.70856030569287,2021-07-30 07:00:00
,1627714800.0,silty,2021,-0.7296420245590622,,-1.0,-1.0,GBRT,3,0.0,,8.127164249908118,4.71830645976308,3.988664435204018,0.0,-0.7296420245590622,0.0,2021-07-31 07:00:00
