"date","fieldName","sectorName","yy","value"
"2020-09-06 00:00:00","Fondo ERRANO","T0",-20,-80.3034244432875
"2020-09-06 00:00:00","Fondo ERRANO","T0",-60,-173.747792772848
"2020-09-07 00:00:00","Fondo ERRANO","T0",-20,-84.9091709240903
"2020-09-07 00:00:00","Fondo ERRANO","T0",-60,-186.088354183244
"2020-09-08 00:00:00","Fondo ERRANO","T0",-20,-88.8079949349145
"2020-09-08 00:00:00","Fondo ERRANO","T0",-60,-195.228279548487
"2020-09-09 00:00:00","Fondo ERRANO","T0",-60,-198.44403405428
"2020-09-09 00:00:00","Fondo ERRANO","T0",-20,-89.21453622478
"2020-09-10 00:00:00","Fondo ERRANO","T0",-60,-206.115968484785
"2020-09-10 00:00:00","Fondo ERRANO","T0",-20,-95.231823317825
"2020-09-11 00:00:00","Fondo ERRANO","T0",-20,-101.014707952113
"2020-09-11 00:00:00","Fondo ERRANO","T0",-60,-211.276373744376
"2020-09-12 00:00:00","Fondo ERRANO","T0",-60,-218.184652791336
"2020-09-12 00:00:00","Fondo ERRANO","T0",-20,-107.798212797409
"2020-09-13 00:00:00","Fondo ERRANO","T0",-20,-118.099427359045
"2020-09-13 00:00:00","Fondo ERRANO","T0",-60,-227.078641114732
"2020-09-14 00:00:00","Fondo ERRANO","T0",-20,-128.849747987489
"2020-09-14 00:00:00","Fondo ERRANO","T0",-60,-235.790978056088
"2020-09-15 00:00:00","Fondo ERRANO","T0",-20,-136.813291264694
"2020-09-15 00:00:00","Fondo ERRANO","T0",-60,-245.679303405745
"2020-09-16 00:00:00","Fondo ERRANO","T0",-60,-254.015244378629
"2020-09-16 00:00:00","Fondo ERRANO","T0",-20,-146.490450010316
"2020-09-17 00:00:00","Fondo ERRANO","T0",-20,-157.66075257608
"2020-09-17 00:00:00","Fondo ERRANO","T0",-60,-263.839010580102
"2020-09-18 00:00:00","Fondo ERRANO","T0",-20,-172.745927887228
"2020-09-18 00:00:00","Fondo ERRANO","T0",-60,-272.870902327172
"2020-09-19 00:00:00","Fondo ERRANO","T0",-20,-183.600765711997
"2020-09-19 00:00:00","Fondo ERRANO","T0",-60,-277.053085553453
"2020-09-20 00:00:00","Fondo ERRANO","T0",-60,-282.43002790088
"2020-09-20 00:00:00","Fondo ERRANO","T0",-20,-189.21141633554
"2020-09-21 00:00:00","Fondo ERRANO","T0",-20,-181.109590287925
"2020-09-21 00:00:00","Fondo ERRANO","T0",-60,-283.570424328215
"2020-09-22 00:00:00","Fondo ERRANO","T0",-20,-165.686449144375
"2020-09-22 00:00:00","Fondo ERRANO","T0",-60,-284.20658701842
"2020-09-23 00:00:00","Fondo ERRANO","T0",-60,-286.820293628706
"2020-09-23 00:00:00","Fondo ERRANO","T0",-20,-150.429897617911
"2020-09-24 00:00:00","Fondo ERRANO","T0",-60,-292.633854401036
"2020-09-24 00:00:00","Fondo ERRANO","T0",-20,-131.53758165233
"2020-09-25 00:00:00","Fondo ERRANO","T0",-60,-56.3334402945938
"2020-09-25 00:00:00","Fondo ERRANO","T0",-20,-26.0879642454062
"2020-09-26 00:00:00","Fondo ERRANO","T0",-60,-23.5444486078722
"2020-09-26 00:00:00","Fondo ERRANO","T0",-20,-19.4562724102722
"2020-09-27 00:00:00","Fondo ERRANO","T0",-60,-29.1063863645062
"2020-09-27 00:00:00","Fondo ERRANO","T0",-20,-20.3079560236375
"2020-09-28 00:00:00","Fondo ERRANO","T0",-60,-20.9655304486673
"2020-09-28 00:00:00","Fondo ERRANO","T0",-20,-19.0007068557865
"2020-09-29 00:00:00","Fondo ERRANO","T0",-20,-19.009234470594
"2020-09-29 00:00:00","Fondo ERRANO","T0",-60,-20.293659087522
"2020-09-30 00:00:00","Fondo ERRANO","T0",-20,-19.5009777920625
"2020-09-30 00:00:00","Fondo ERRANO","T0",-60,-19.5520716358554
"2020-10-01 00:00:00","Fondo ERRANO","T0",-60,-20.965655400225
"2020-10-01 00:00:00","Fondo ERRANO","T0",-20,-21.1527218023673
"2020-10-02 00:00:00","Fondo ERRANO","T0",-60,-27.373810583255
"2020-10-02 00:00:00","Fondo ERRANO","T0",-20,-24.02089323247
"2020-10-03 00:00:00","Fondo ERRANO","T0",-60,-48.82978465384
"2020-10-03 00:00:00","Fondo ERRANO","T0",-20,-29.25185862763
"2020-10-04 00:00:00","Fondo ERRANO","T0",-20,-48.4026112195977
"2020-10-04 00:00:00","Fondo ERRANO","T0",-60,-105.44796463937
"2020-10-05 00:00:00","Fondo ERRANO","T0",-60,-28.5779693944615
"2020-10-05 00:00:00","Fondo ERRANO","T0",-20,-23.6434342577365
"2020-10-06 00:00:00","Fondo ERRANO","T0",-60,-19.9938261890053
"2020-10-06 00:00:00","Fondo ERRANO","T0",-20,-22.4135051909684
"2020-10-07 00:00:00","Fondo ERRANO","T0",-20,-25.901631523506
"2020-10-07 00:00:00","Fondo ERRANO","T0",-60,-22.440086396028
"2020-10-08 00:00:00","Fondo ERRANO","T0",-60,-30.3450545800687
"2020-10-08 00:00:00","Fondo ERRANO","T0",-20,-34.2645446034938
"2020-10-09 00:00:00","Fondo ERRANO","T0",-20,-51.9274002576
"2020-10-09 00:00:00","Fondo ERRANO","T0",-60,-63.1050351930375
"2020-10-10 00:00:00","Fondo ERRANO","T0",-20,-69.6246602880321
"2020-10-10 00:00:00","Fondo ERRANO","T0",-60,-119.318059843243
"2020-10-11 00:00:00","Fondo ERRANO","T0",-60,-100.456783218988
"2020-10-11 00:00:00","Fondo ERRANO","T0",-20,-62.8005786470625
"2020-10-17 00:00:00","Fondo ERRANO","T0",-20,-18.02045150355
"2020-10-17 00:00:00","Fondo ERRANO","T0",-60,-19.8266311058
"2020-10-18 00:00:00","Fondo ERRANO","T0",-20,-17.9999037121929
"2020-10-18 00:00:00","Fondo ERRANO","T0",-60,-19.7295835759286
"2020-10-19 00:00:00","Fondo ERRANO","T0",-20,-18.0774948443638
"2020-10-19 00:00:00","Fondo ERRANO","T0",-60,-19.8616270635983
"2020-10-20 00:00:00","Fondo ERRANO","T0",-20,-18.2420378214724
"2020-10-20 00:00:00","Fondo ERRANO","T0",-60,-19.9087315402862
"2020-10-21 00:00:00","Fondo ERRANO","T0",-60,-20.13825767895
"2020-10-21 00:00:00","Fondo ERRANO","T0",-20,-18.2229302717667
"2020-10-22 00:00:00","Fondo ERRANO","T0",-60,-20.2578580773629
"2020-10-22 00:00:00","Fondo ERRANO","T0",-20,-18.3166900259177
"2020-10-23 00:00:00","Fondo ERRANO","T0",-20,-18.3523787538234
"2020-10-23 00:00:00","Fondo ERRANO","T0",-60,-20.1122989056375
"2020-10-24 00:00:00","Fondo ERRANO","T0",-60,-20.1625238011293
"2020-10-24 00:00:00","Fondo ERRANO","T0",-20,-18.2461669100741
"2020-10-25 00:00:00","Fondo ERRANO","T0",-20,-18.2858407293155
"2020-10-25 00:00:00","Fondo ERRANO","T0",-60,-20.0864801007776
"2020-10-26 00:00:00","Fondo ERRANO","T0",-20,-18.6124745426423
"2020-10-26 00:00:00","Fondo ERRANO","T0",-60,-20.6235648934789
"2020-10-27 00:00:00","Fondo ERRANO","T0",-20,-18.5136494158071
"2020-10-27 00:00:00","Fondo ERRANO","T0",-60,-20.7561279832875
"2020-10-28 00:00:00","Fondo ERRANO","T0",-20,-19.344649893635
"2020-10-28 00:00:00","Fondo ERRANO","T0",-60,-21.139422176315
"2020-10-29 00:00:00","Fondo ERRANO","T0",-20,-20.2233519694833
"2020-10-29 00:00:00","Fondo ERRANO","T0",-60,-21.9818949641778
"2020-10-30 00:00:00","Fondo ERRANO","T0",-60,-23.1861592094538
"2020-10-30 00:00:00","Fondo ERRANO","T0",-20,-20.8482059138481
"2020-10-31 00:00:00","Fondo ERRANO","T0",-60,-26.1817417524803
"2020-10-31 00:00:00","Fondo ERRANO","T0",-20,-21.592035934275
"2020-11-01 00:00:00","Fondo ERRANO","T0",-60,-32.020361604975
"2020-11-01 00:00:00","Fondo ERRANO","T0",-20,-22.1487904263808
"2020-11-02 00:00:00","Fondo ERRANO","T0",-60,-37.7653653428333
"2020-11-02 00:00:00","Fondo ERRANO","T0",-20,-23.1034484599889
"2020-11-03 00:00:00","Fondo ERRANO","T0",-60,-44.0028817875107
"2020-11-03 00:00:00","Fondo ERRANO","T0",-20,-23.6141255474625
"2020-11-04 00:00:00","Fondo ERRANO","T0",-20,-23.957597368425
"2020-11-04 00:00:00","Fondo ERRANO","T0",-60,-45.2278724467904
"2020-11-05 00:00:00","Fondo ERRANO","T0",-60,-47.0773821141482
"2020-11-05 00:00:00","Fondo ERRANO","T0",-20,-24.7808605936018
"2020-11-06 00:00:00","Fondo ERRANO","T0",-20,-26.7855230903864
"2020-11-06 00:00:00","Fondo ERRANO","T0",-60,-55.2856762320614
"2020-11-07 00:00:00","Fondo ERRANO","T0",-60,-74.4585038678035
"2020-11-07 00:00:00","Fondo ERRANO","T0",-20,-30.7294277662125
"2020-11-08 00:00:00","Fondo ERRANO","T0",-20,-35.4405254980327
"2020-11-08 00:00:00","Fondo ERRANO","T0",-60,-92.30236546515
"2020-11-09 00:00:00","Fondo ERRANO","T0",-20,-40.762215749244
"2020-11-09 00:00:00","Fondo ERRANO","T0",-60,-106.622813684268
